Lon,Lat,Name,County,Pop_2010,Pop_2000,Pop_1990,Type
-110.4940033,47.25889969,Geyser,Judith Basin,87,67,46,Census Designated Place
-112.6809998,46.95489883,Lincoln,Lewis and Clark,1013,1095,817,Census Designated Place
-112.7910004,46.18000031,Warm Springs,Deer Lodge,465,239,395,2-mile diameter circle
-107.3949966,45.13010025,Wyola,Big Horn,215,184,162,Census Designated Place
-108.6809998,45.93050003,Acton,Yellowstone,67,12,39,2-mile diameter circle
-114.2949982,47.32939911,Agency,Sanders,107,95,124,Census Designated Place with Alternate Name
-112.1070023,45.32379913,Alder,Madison,103,116,52,Census Designated Place
-111.987999,46.45130157,Alhambra,Jefferson,74,73,58,Manually defined region
-109.6409988,45.20130157,Alpine,Carbon,1,3,4,2-mile diameter circle
-114.3000031,45.61880112,Alta,Ravalli,12,12,0,2-mile diameter circle
-104.4150009,45.02339935,Alzada,Carter,29,14,26,Census Designated Place
-111.3199997,45.75799942,Amsterdam,Gallatin,180,201,192,Census Designated Place
-111.3550034,45.64849854,Anceney,Gallatin,43,24,9,2-mile diameter circle
-104.5469971,47.95439911,Andes,Richland,3,4,5,2-mile diameter circle
-106.2009964,46.72999954,Angela,Rosebud,0,0,0,2-mile diameter circle
-104.4570007,48.6896019,Antelope,Sheridan,51,49,53,Census Designated Place
-112.7070007,45.38190079,Apex,Beaverhead,0,1,0,2-mile diameter circle
-113.9929962,48.52769852,Apgar,Flathead,0,3,2,2-kilometer diameter circle
-110.9039993,47.36640167,Armington,Cascade,145,125,161,2-mile diameter circle
-112.2450027,46.63909912,Austin,Lewis And Clark,20,12,17,2-mile diameter circle
-112.5970001,46.59840012,Avon,Powell,111,123,100,Census Designated Place
-113.4369965,48.86029816,Babb,Glacier,174,146,55,Census Designated Place
-108.1449966,45.94889832,Ballantine,Yellowstone,320,342,307,Census Designated Place
-112.9960022,45.1609993,Bannack,Beaverhead,2,2,1,2-mile diameter circle
-112.2639999,46.27130127,Basin,Jefferson,212,253,53,Census Designated Place
-106.4789963,48.66339874,Baylor,Valley,1,3,2,2-mile diameter circle
-105.5690002,46.05530167,Beebe,Custer,0,2,0,2-mile diameter circle
-115.4089966,47.66220093,Belknap,Sanders,158,111,62,Census Designated Place
-105.1110001,45.1391983,Belle Creek,Powder River,5,23,6,2-mile diameter circle
-104.3769989,45.63830185,Belltower,Carter,2,2,1,2-mile diameter circle
-110.0179977,47.07939911,Benchland,Judith Basin,7,7,5,2-mile diameter circle
-107.3960037,45.45640182,Benteen,Big Horn,41,49,32,2-mile diameter circle
-105.3379974,45.09939957,Biddle,Powder River,41,48,14,Census Designated Place
-114.2949982,47.79800034,Big Arm,Lake,177,127,126,Census Designated Place
-111.3119965,45.26089859,Big Sky Meadow Village,Gallatin,1922,915,426,Manually defined region
-111.3990021,45.28960037,Big Sky Mountain Village,Madison,386,187,142,Manually defined region
-107.4489975,46.1617012,Bighorn,Treasure,8,3,23,2-mile diameter circle
